bstoparsno,bstopid,name,stoptype,lng,lat
1001,167970102,"영주삼거리","일반",129.033261700000000,35.115323330000002
1002,169310303,"영주삼거리","일반",129.033030300000010,35.115282639999997
1003,167970301,"시민아파트","일반",129.031678300000010,35.115074999999997
1004,167840102,"시민아파트","일반",129.032159900000010,35.114921359999997
1005,167970302,"중앙공원 민주공원입구","일반",129.029858300000000,35.114473330000003
1006,167840101,"중앙공원 민주공원입구","일반",129.030088699999990,35.114344170000003
1007,167840201,"중앙공원 민주공원입구","일반",129.029651699999990,35.113970000000002
1008,167970201,"동아아파트","일반",129.030426699999990,35.113966670000003
1009,168020203,"동아아파트","일반",129.030288300000000,35.113201089999997
1010,167660301,"부산터널위","일반",129.031769000000000,35.113067999999998
1011,167840202,"동주파크맨션","일반",129.029670000000010,35.111441669999998
1012,167830103,"동주파크맨션","일반",129.029844999999990,35.111336670000000
1013,168020202,"금호아파트","일반",129.030720000000000,35.111496670000001
1014,167970202,"금호아파트","일반",129.030686699999990,35.111094999999999
1015,167840203,"청운아파트","일반",129.030538299999990,35.109654999999997
1016,167830102,"청운아파트","일반",129.030711700000010,35.109573330000003
1017,168020201,"부산디지털고","일반",129.031799000000010,35.109566000000001
1018,167970203,"부산디지털고","일반",129.031981699999990,35.109475000000003
1019,167840204,"부산디지털고","일반",129.030291699999990,35.107786670000003
1020,167830101,"부산디지털고","일반",129.030988299999990,35.108071670000001
1021,168020102,"중구청.메리놀병원","일반",129.032933300000000,35.107534469999997
1022,167910201,"중구청.메리놀병원","일반",129.033933300000000,35.107728330000000
1023,167910101,"중구청.메리놀병원","일반",129.033720200000000,35.108088719999998
1024,167910102,"거북맨션","일반",129.033933899999990,35.109796230000001
1025,168020101,"거북맨션","일반",129.033714000000000,35.109738630000003
1026,167910202,"코모도호텔","일반",129.034878300000000,35.110188330000000
1027,167670201,"영주신호대","일반",129.034431700000000,35.111244999999997
1028,167680201,"영주동","일반",129.035004300000000,35.112254909999997
1029,167680101,"영주동","일반",129.035453300000000,35.112065000000001
1030,167700302,"영주동","일반",129.037222200000000,35.109993979999999
1032,167860102,"영주동","일반",129.037495900000010,35.109652879999999
1033,167700303,"영주동","일반",129.036897100000000,35.109200309999999
1034,167860101,"영주동","일반",129.036973899999990,35.108424030000002
1036,167930101,"2부두","일반",129.040653300000000,35.108561670000000
1037,169270201,"2부두","일반",129.040120000000000,35.108280000000001
1038,167700304,"영주동","일반",129.036610000000000,35.108126669999997
1039,167700305,"중부경찰서","일반",129.036378300000000,35.107683330000000
1041,168010301,"중앙동(중앙역)","일반",129.036340800000000,35.106674900000002
1042,167860202,"중앙동(중앙역)","일반",129.036024700000010,35.105432819999997
1043,167860201,"중앙동","일반",129.036193300000010,35.105543330000003
1044,169270202,"연안여객터미널","일반",129.039154999999990,35.106076670000000
1045,167930102,"연안여객터미널","일반",129.038271700000000,35.105083329999999
1046,167930201,"부산세관","일반",129.037440000000000,35.104016670000000
1047,167710301,"제일은행앞","일반",129.034833300000000,35.102951670000003
1048,167950102,"백산기념관.영화체험박물관","일반",129.034246900000000,35.102682569999999
1049,211840303,"중앙역2번출구","일반",129.036560000000010,35.101851670000002
1050,211840302,"CJ대한통운","일반",129.036720600000000,35.101447430000000
1051,211840301,"CJ대한통운","일반",129.036746999999990,35.100969550000002
1052,167730101,"부산항만공사","일반",129.037685000000010,35.100769999999997
1053,211850401,"부산항만공사","일반",129.037920000000010,35.100841670000001
1054,211840304,"연안여객부두","일반",129.036648300000000,35.100470000000001
1055,167720201,"중앙동주민센터","일반",129.036337500000000,35.100950220000001
1056,167720202,"부산데파트","일반",129.036585000000000,35.100588330000001
