노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
42,회동동(기점) - 회동동(기점),0,회동동(기점),0,0,0,1,0,1,1,1,1,2,1,1,3,8,2,1,1,0,0,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),1,회동본동,0,0,0,2,2,2,0,2,2,3,0,0,2,3,3,4,0,0,0,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),2,욱성화학,0,0,1,0,3,0,2,0,1,3,3,3,5,10,4,6,2,5,0,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),3,부산예원고등학교,0,0,1,4,5,2,3,0,2,5,2,4,8,11,2,2,0,1,0,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),4,중소기업은행,0,0,2,6,7,1,2,3,3,7,3,5,9,2,0,2,7,0,0,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),5,금사시장,0,1,0,7,7,4,3,4,4,8,3,8,8,9,6,7,9,1,0,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),6,금사중학입구,0,1,2,8,8,1,3,5,6,9,4,0,9,12,8,9,2,4,1,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),7,라이프타운,0,0,3,8,7,4,2,6,6,7,6,4,10,8,11,7,7,3,2,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),8,세웅병원,0,2,3,12,10,6,4,7,9,6,7,6,13,10,12,7,8,6,3,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),9,세웅병원후문,0,4,4,15,13,7,11,0,10,7,10,8,12,9,12,3,7,6,1,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),10,협진태양맨션,0,6,6,17,13,8,4,2,10,5,11,5,14,9,14,7,6,0,0,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),11,명장정수사업소,0,2,6,15,16,11,12,8,11,6,10,7,6,10,14,6,0,4,2,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),12,명장조양맨션.명장역,0,7,6,21,20,12,11,9,13,16,12,6,15,14,12,6,7,5,4,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),13,명장농협,0,7,4,24,21,12,9,9,14,16,11,6,9,10,13,7,6,7,4,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),14,충렬사역.서원시장,0,8,0,25,24,14,11,10,16,18,8,5,9,16,17,7,8,8,3,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),15,안락교차로,0,6,6,25,19,14,9,9,17,17,10,7,9,17,19,10,8,8,5,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),16,안락동우체국(동해선안락역),0,4,5,23,17,12,14,6,9,11,8,4,9,12,15,9,3,5,0,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),17,동래한전,0,9,5,14,12,9,10,9,14,8,10,8,7,12,15,8,7,6,4,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),18,뜨란채아파트,0,8,7,16,17,12,11,10,15,12,12,10,9,13,16,10,6,6,2,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),19,안남초등학교,0,7,6,17,20,6,6,11,17,3,13,11,10,13,15,11,8,6,5,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),20,토곡한양아파트,0,0,4,13,22,13,10,13,20,12,12,8,11,14,13,9,6,10,2,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),21,태광아파트,0,8,4,14,19,14,6,12,13,13,11,10,12,12,13,13,7,10,4,0,0,0,0,0,
42,회동동(기점) - 회동동(기점),22,부산소방본부.부산교통정보서비스센터,0,9,7,15,18,14,10,11,22,12,11,11,13,12,15,13,8,12,2,0,0,0,0,0,
