노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
9(통합),남부여객(종점) - 남부여객(종점),0,남부여객(종점),0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),1,쌍용자동차학원,0,0,1,3,1,1,1,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),2,일신마리나아파트(ST),0,0,1,3,1,1,1,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),3,원우아파트,2,1,2,6,3,6,1,0,2,5,1,3,2,2,1,0,1,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),4,일신마리나아파트,0,2,5,11,6,5,2,2,5,7,2,4,3,2,3,0,2,2,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),5,롯데낙천대,0,3,0,12,8,0,3,0,2,0,0,0,4,0,0,1,0,3,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),6,(구)해사고,0,4,4,14,3,7,0,1,4,5,0,4,4,3,4,0,0,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),7,청산학원,0,0,0,8,4,7,4,4,7,6,3,0,0,2,0,0,0,4,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),8,영광아파트,5,5,5,16,10,8,6,5,8,8,3,5,0,4,5,0,0,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),9,삼신아파트,9,0,7,17,7,9,3,7,6,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),10,시영아파트,0,2,9,0,0,10,4,3,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),11,영도배수지,0,0,6,8,9,9,5,0,0,0,4,2,4,0,0,0,1,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),12,외나무약국,0,0,6,12,0,0,0,3,9,0,1,0,4,0,3,4,0,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),13,남도여중,0,0,0,18,8,0,6,0,10,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),14,신선동주민센터,0,0,7,4,8,0,0,4,9,7,3,6,0,5,4,0,2,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),15,신선중학교,0,1,0,7,10,6,0,5,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),16,흰여울문화마을,0,9,0,11,17,7,5,4,0,9,5,7,5,6,0,0,7,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),17,부산보건고등학교,0,4,6,9,17,8,8,5,0,10,6,3,6,8,8,4,0,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),18,영선위교차로,0,0,7,10,13,9,7,6,0,12,3,11,9,5,5,0,0,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),19,영선아랫교차로,0,11,0,13,14,9,6,4,7,13,5,10,10,11,11,2,9,0,1,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),20,남항동,0,0,8,14,12,5,8,5,6,14,7,0,10,12,21,0,0,5,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),21,대교사거리,0,12,0,15,17,7,9,7,10,13,10,0,6,11,22,0,3,4,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),22,영도경찰서,0,9,5,15,15,10,4,5,11,12,9,8,13,16,19,0,10,5,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),23,영도대교.남포역,0,3,4,7,6,3,4,6,9,9,6,6,12,10,6,1,6,5,1,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),24,남포동,0,1,1,5,4,1,3,5,3,4,5,3,6,4,1,0,4,4,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),25,자갈치역.충무동교차로,0,0,2,4,5,0,2,2,2,2,4,4,4,2,2,0,2,5,2,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),26,남부민시장입구,0,0,0,0,4,0,0,0,2,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),27,남부민초등학교,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),28,천마우편취급국,0,4,0,0,0,0,0,0,0,1,0,4,2,1,0,0,0,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),29,남부민2동주민센터,0,0,0,1,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),30,부산관광고교,0,5,0,0,2,0,1,1,1,0,3,0,0,2,0,0,1,1,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),31,신익아파트,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),32,송도입구,0,0,3,3,1,0,0,0,0,0,3,4,0,0,1,0,0,3,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),33,고신대학교복음병원,0,3,1,2,3,0,0,1,0,0,1,3,0,0,0,4,0,2,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),34,알로이시오기념병원,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),35,감천초등학교,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),36,남성한빛가든,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
9(통합),남부여객(종점) - 남부여객(종점),37,감천사거리,0,2,0,4,3,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,
