노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
58,용당(차고지) - 용당(차고지),0,용당(차고지),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),1,편들마을,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),2,북부마을회관,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),3,대동이미지타운1차.,0,2,2,3,2,1,0,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),4,대동이미지2단지,0,1,2,5,4,3,1,2,3,0,1,2,2,0,2,0,3,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),5,서창중학교,0,0,0,6,0,4,0,0,4,3,3,3,3,1,0,2,0,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),6,법천사,0,0,0,6,5,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),7,그린빌아파트,0,3,0,16,10,7,3,3,8,4,4,4,4,3,2,0,1,1,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),8,대우푸르지오,0,3,4,20,6,8,4,5,4,5,5,0,6,4,3,3,2,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),9,웅상농협명동지점,0,4,0,11,0,9,3,0,5,3,0,4,3,1,3,0,3,1,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),10,화성파크드림2차,0,5,0,4,14,5,4,6,9,4,6,3,7,6,0,4,4,3,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),11,화성파크드림1차.삼한사랑채,0,4,6,22,16,11,6,11,3,7,7,8,9,9,5,5,5,4,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),12,명곡마을,0,0,0,0,0,0,0,0,0,8,0,5,7,0,0,3,0,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),13,석호가람휘,0,0,3,11,17,12,7,7,6,9,8,10,8,0,11,1,0,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),14,웅상문화체육센터입구,0,5,0,10,8,0,7,8,5,4,0,5,0,5,0,6,5,3,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),15,양산롯데캐슬,0,0,5,11,0,0,0,13,10,10,0,6,8,6,0,0,6,4,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),16,주진마을,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),17,웅상도서관,0,6,0,0,0,0,0,7,6,0,0,6,8,8,14,0,0,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),18,혜인병원,0,6,0,23,12,14,9,9,9,11,0,11,9,1,16,5,5,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),19,신명마을,0,2,6,0,11,12,0,0,0,10,0,8,6,7,16,3,3,3,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),20,덕계마을.덕계다리,0,0,7,10,20,13,6,16,11,15,11,11,4,6,15,4,4,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),21,덕계사거리,0,0,5,12,19,13,5,16,10,2,10,11,9,8,15,6,4,3,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),22,덕계메가마트,0,0,0,24,22,14,8,17,16,17,11,11,7,9,15,0,3,4,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),23,덕계동일2차아파트,0,0,7,25,14,15,0,18,16,10,9,10,6,10,0,0,0,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),24,덕계상설시장(무지개폭포입구),0,0,8,16,23,16,9,17,16,18,0,10,8,11,16,8,4,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),25,월평고개,0,0,0,0,12,0,6,0,15,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),26,월평교차로,0,0,7,0,21,0,4,12,9,3,10,0,0,0,4,0,0,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),27,임곡마을,0,0,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),28,개곡마을,0,0,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),29,창기마을,0,0,0,0,20,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),30,임기마을,0,0,0,0,0,13,0,0,17,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),31,영천초등학교,0,0,0,0,0,15,5,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),32,동면우체국,0,0,0,17,0,16,0,13,13,0,9,12,0,13,0,4,0,0,0,0,0,0,0,0,
58,용당(차고지) - 용당(차고지),33,두구동입구,0,0,0,0,0,0,10,0,0,12,0,0,8,14,0,0,0,0,0,0,0,0,0,0,
