노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
23,감만동 - 감만동,0,감만동,2,9,7,10,12,12,5,4,8,5,5,6,5,8,5,5,3,2,2,0,0,0,0,0,
23,감만동 - 감만동,1,감만시장,3,10,9,11,14,7,7,6,6,6,7,7,6,9,10,4,5,2,3,0,0,0,0,0,
23,감만동 - 감만동,2,감만창의문화촌,3,11,10,10,10,14,8,8,5,9,8,8,7,12,13,4,1,2,3,0,0,0,0,0,
23,감만동 - 감만동,3,우암자유아파트,3,6,9,17,15,15,6,9,8,8,10,9,10,14,11,6,6,2,4,0,0,0,0,0,
23,감만동 - 감만동,4,우암초등학교,2,7,9,19,17,16,7,6,9,9,9,8,12,15,12,7,2,0,0,0,0,0,0,0,
23,감만동 - 감만동,5,남부중앙새마을금고,0,7,8,20,15,9,7,9,10,10,11,10,8,12,11,5,7,3,3,0,0,0,0,0,
23,감만동 - 감만동,6,7부두,0,12,0,7,11,9,8,7,8,4,12,5,8,13,10,3,0,1,0,0,0,0,0,0,
23,감만동 - 감만동,7,문현교차로,3,7,9,14,18,17,10,11,9,9,14,11,13,15,12,6,3,4,3,0,0,0,0,0,
23,감만동 - 감만동,8,자성대,2,12,11,13,19,15,8,9,8,11,10,11,13,13,15,9,5,3,3,0,0,0,0,0,
23,감만동 - 감만동,9,범일역.범일동부산은행,4,10,8,11,11,14,7,5,5,9,11,11,8,10,12,7,3,4,5,0,0,0,0,0,
23,감만동 - 감만동,10,중앙시장,4,5,4,11,10,14,6,5,6,9,12,9,11,11,13,9,4,5,4,0,0,0,0,0,
23,감만동 - 감만동,11,범내골역,5,10,7,10,8,12,6,7,6,7,10,10,10,12,12,7,2,3,4,1,0,0,0,0,
23,감만동 - 감만동,12,서면한전,3,8,6,8,7,10,5,5,7,6,9,13,10,12,11,8,6,3,5,0,0,0,0,0,
23,감만동 - 감만동,13,서면역.서면지하상가,3,5,6,6,6,6,3,7,8,7,8,12,6,14,12,9,2,5,5,0,0,0,0,0,
23,감만동 - 감만동,14,롯데호텔백화점.서면역,1,2,3,3,6,7,3,7,6,7,6,10,11,15,15,8,5,7,5,1,0,0,0,0,
23,감만동 - 감만동,15,부암역.당감입구,0,1,1,2,8,5,4,6,9,6,8,8,13,14,13,10,4,4,0,6,0,0,0,0,
23,감만동 - 감만동,16,진양교차로,0,0,0,0,1,8,2,5,8,5,6,6,12,13,11,7,5,6,0,5,0,0,0,0,
23,감만동 - 감만동,17,당감1치안센터,0,0,0,0,7,0,0,0,7,2,4,9,11,12,13,9,3,0,0,0,0,0,0,0,
23,감만동 - 감만동,18,당감초등학교,1,0,0,3,7,5,2,5,8,4,6,8,9,11,9,3,3,4,4,0,0,0,0,0,
23,감만동 - 감만동,19,화승삼성아파트,5,1,2,2,6,2,3,3,7,2,6,6,3,6,7,4,2,1,3,4,0,0,0,0,
23,감만동 - 감만동,20,(구)당감4동주민센터,7,0,0,0,5,2,2,2,3,2,5,7,2,7,3,2,2,1,2,5,0,0,0,0,
23,감만동 - 감만동,21,청수탕,0,0,1,0,0,0,0,0,0,0,2,4,0,6,6,0,1,0,1,0,0,0,0,0,
23,감만동 - 감만동,22,당감백산아파트,8,0,0,2,4,2,2,1,4,2,4,5,4,4,4,2,1,0,1,3,0,0,0,0,
23,감만동 - 감만동,23,개성고등학교,0,0,0,1,11,1,0,1,0,2,5,5,7,5,2,0,1,2,0,0,0,0,0,0,
23,감만동 - 감만동,24,백양뜨란채아파트,0,8,2,3,7,2,3,2,3,3,6,5,8,5,2,0,2,1,0,0,0,0,0,0,
23,감만동 - 감만동,25,백양가족공원,0,4,3,7,13,4,4,5,5,4,5,6,4,4,4,3,1,2,2,1,0,0,0,0,
23,감만동 - 감만동,26,선암사입구,0,10,5,16,19,8,6,7,6,5,7,7,11,6,6,4,2,3,3,2,0,0,0,0,
23,감만동 - 감만동,27,동원초등학교,0,3,6,20,21,9,3,8,5,4,8,7,6,7,5,3,2,4,1,0,0,0,0,0,
23,감만동 - 감만동,28,용사촌입구,0,3,6,15,5,10,5,6,3,0,3,0,7,4,5,3,1,5,0,0,0,0,0,0,
23,감만동 - 감만동,29,청수탕,0,7,3,23,22,12,5,9,6,5,9,5,12,7,4,1,0,0,0,0,0,0,0,0,
23,감만동 - 감만동,30,당감동,0,12,5,16,25,12,6,7,8,6,6,8,6,10,11,3,2,6,3,5,0,0,0,0,
23,감만동 - 감만동,31,(구)당감4동주민센터,0,13,6,27,27,14,7,10,8,6,8,10,11,11,7,3,3,5,2,6,0,0,0,0,
23,감만동 - 감만동,32,화승삼성아파트,0,16,7,34,27,17,7,10,9,10,8,10,11,12,12,4,4,7,4,3,0,0,0,0,
23,감만동 - 감만동,33,당감초등학교,0,19,8,37,34,21,11,12,11,13,10,13,14,13,16,5,6,5,6,6,0,0,0,0,
23,감만동 - 감만동,34,당감1치안센터,0,19,7,38,35,22,13,13,12,12,15,12,15,7,17,6,5,1,0,7,0,0,0,0,
23,감만동 - 감만동,35,진양교차로,0,19,8,33,25,16,12,12,11,10,6,13,8,14,18,9,4,2,0,0,0,0,0,0,
23,감만동 - 감만동,36,부암역.당감입구,0,17,8,24,21,15,9,10,9,9,12,12,9,11,15,8,5,5,5,6,0,0,0,0,
23,감만동 - 감만동,37,롯데호텔백화점.서면역,0,7,3,19,9,11,4,6,5,6,7,8,4,7,6,5,4,3,4,3,0,0,0,0,
23,감만동 - 감만동,38,서면시장,0,6,0,5,6,10,4,8,4,4,6,9,4,8,7,6,3,1,4,0,0,0,0,0,
23,감만동 - 감만동,39,서면복개로,0,6,0,6,10,2,0,4,3,5,5,8,4,9,7,2,5,4,5,4,0,0,0,0,
23,감만동 - 감만동,40,부산진초등학교,0,2,2,5,10,8,3,8,2,0,2,3,3,12,6,5,3,0,2,0,0,0,0,0,
23,감만동 - 감만동,41,중앙시장,0,7,4,5,8,6,3,10,2,6,6,7,5,13,10,6,3,3,3,4,0,0,0,0,
23,감만동 - 감만동,42,범일동국민은행,0,4,3,5,5,4,3,8,5,5,6,9,6,11,10,6,5,4,6,4,0,0,0,0,
23,감만동 - 감만동,43,문현교차로,0,2,3,2,5,2,2,8,2,2,5,4,5,7,9,5,3,3,1,0,0,0,0,0,
23,감만동 - 감만동,44,7부두,0,0,0,0,0,0,0,0,1,1,0,5,3,6,9,0,1,0,0,0,0,0,0,0,
23,감만동 - 감만동,45,남부중앙새마을금고,0,0,2,1,4,4,3,0,8,2,4,4,2,7,6,3,2,0,0,0,0,0,0,0,
23,감만동 - 감만동,46,우암초등학교,0,1,2,4,3,3,0,3,1,2,5,8,4,7,10,5,3,0,3,0,0,0,0,0,
23,감만동 - 감만동,47,우암자유아파트,0,1,1,3,2,2,4,4,8,6,5,7,5,7,10,4,4,3,3,2,0,0,0,0,
23,감만동 - 감만동,48,감만창의문화촌,0,0,0,1,1,2,0,3,7,0,1,4,3,5,4,1,1,2,5,0,0,0,0,0,
23,감만동 - 감만동,49,감만시장,0,0,0,2,2,2,1,0,2,4,2,0,4,5,7,2,4,2,0,0,0,0,0,0,
23,감만동 - 감만동,50,감만동,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,
