노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
33,연제공용버스차고지 - 연제공용버스차고지,0,연제공용버스차고지,0,0,0,1,1,1,0,2,1,3,2,2,1,2,2,2,1,1,0,0,0,0,0,0,
33,연제공용버스차고지 - 연제공용버스차고지,1,시민도서관,1,1,0,1,2,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,
33,연제공용버스차고지 - 연제공용버스차고지,2,부산진고교,3,3,3,8,5,8,6,12,4,6,7,4,5,6,5,2,2,2,0,0,0,0,0,0,
33,연제공용버스차고지 - 연제공용버스차고지,3,연지한신타워,0,6,4,11,6,10,6,5,12,9,9,5,4,7,7,3,3,2,0,0,0,0,0,0,
33,연제공용버스차고지 - 연제공용버스차고지,4,성의신용협동조합,3,0,4,8,9,10,5,6,13,4,4,6,7,7,6,4,2,0,0,0,0,0,0,0,
33,연제공용버스차고지 - 연제공용버스차고지,5,국립부산국악원,2,7,5,9,9,11,7,7,9,8,7,6,4,8,7,4,3,1,0,0,0,0,0,0,
33,연제공용버스차고지 - 연제공용버스차고지,6,부산시민공원,4,2,6,10,11,13,6,6,11,2,9,5,7,9,8,5,4,2,1,0,0,0,0,0,
33,연제공용버스차고지 - 연제공용버스차고지,7,화인아파트,5,9,7,12,12,15,11,9,12,10,10,9,11,11,9,6,3,2,1,0,0,0,0,0,
33,연제공용버스차고지 - 연제공용버스차고지,8,정묘사,5,4,8,15,13,17,11,9,14,8,12,10,12,12,10,6,4,3,0,0,0,0,0,0,
33,연제공용버스차고지 - 연제공용버스차고지,9,양정현대아파트,3,11,10,13,14,18,12,10,7,9,12,7,15,14,11,6,6,5,2,0,0,0,0,0,
33,연제공용버스차고지 - 연제공용버스차고지,10,하마정,6,10,8,14,12,12,11,11,9,10,14,11,14,14,10,2,7,2,0,0,0,0,0,0,
33,연제공용버스차고지 - 연제공용버스차고지,11,양정대원칸타빌,0,9,11,13,12,19,12,11,18,11,15,12,12,12,12,8,9,3,0,0,0,0,0,0,
33,연제공용버스차고지 - 연제공용버스차고지,12,송상현광장,8,10,9,12,12,18,11,11,15,12,12,10,12,13,15,10,2,5,3,0,0,0,0,0,
33,연제공용버스차고지 - 연제공용버스차고지,13,부전역,0,7,8,11,10,14,10,9,15,10,14,10,12,13,13,12,9,7,2,0,0,0,0,0,
