노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
20,남구국민체육센터 - 남구국민체육센터,0,남구국민체육센터,0,0,0,0,1,0,0,0,1,1,1,0,3,5,2,0,0,0,1,0,0,0,0,0,
20,남구국민체육센터 - 남구국민체육센터,1,남구실내빙상장,0,0,0,0,1,0,0,1,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,
20,남구국민체육센터 - 남구국민체육센터,2,백운포체육공원,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,
20,남구국민체육센터 - 남구국민체육센터,3,백운포,0,0,0,0,0,0,1,0,0,2,0,0,5,1,0,2,0,1,2,0,0,0,0,0,
20,남구국민체육센터 - 남구국민체육센터,4,백운포고개,0,1,2,4,3,3,1,5,3,0,2,4,6,8,2,3,1,1,0,0,0,0,0,0,
20,남구국민체육센터 - 남구국민체육센터,5,부산성모병원,0,5,4,11,10,6,2,7,5,5,4,6,7,12,3,2,2,0,0,0,0,0,0,0,
20,남구국민체육센터 - 남구국민체육센터,6,용호2동주민센터,0,6,6,15,18,9,9,12,7,8,5,7,11,16,8,3,4,2,1,0,0,0,0,0,
20,남구국민체육센터 - 남구국민체육센터,7,용호사거리,0,9,7,20,23,10,12,13,12,10,9,10,15,18,19,11,4,3,3,0,0,0,0,0,
20,남구국민체육센터 - 남구국민체육센터,8,이기대입구,0,10,9,22,24,12,13,11,13,7,10,12,16,20,22,12,5,6,4,0,0,0,0,0,
20,남구국민체육센터 - 남구국민체육센터,9,용문중학교,0,11,8,28,28,15,13,16,14,14,11,16,20,22,22,14,5,4,6,0,0,0,0,0,
20,남구국민체육센터 - 남구국민체육센터,10,남부운전면허시험장,0,13,9,30,38,17,18,19,15,15,12,19,23,28,27,7,4,6,7,0,0,0,0,0,
20,남구국민체육센터 - 남구국민체육센터,11,도로교통공단,0,6,8,28,31,18,18,17,17,16,5,14,21,30,29,15,6,2,3,0,0,0,0,0,
20,남구국민체육센터 - 남구국민체육센터,12,부경대대연캠퍼스,0,12,7,27,30,19,16,17,0,15,11,21,15,24,27,0,6,4,8,0,0,0,0,0,
20,남구국민체육센터 - 남구국민체육센터,13,경성대학교입구,0,14,5,15,20,16,13,14,11,12,12,19,13,17,15,9,5,7,9,0,0,0,0,0,
