노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
57,사직동 - 사직동,0,사직동,0,1,1,2,2,2,0,2,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,
57,사직동 - 사직동,1,법원어귀교차로,0,2,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
57,사직동 - 사직동,2,여명중학교,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
57,사직동 - 사직동,3,창신초등학교,0,2,0,0,1,0,0,1,2,0,2,1,1,0,2,2,0,0,0,0,0,0,0,0,
57,사직동 - 사직동,4,삼정그린아파트,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,사직동 - 사직동,5,부산의료원,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
57,사직동 - 사직동,6,부산의료원,0,1,0,4,2,1,2,2,3,2,2,2,3,3,2,1,2,1,1,1,0,0,0,0,
57,사직동 - 사직동,7,삼정그린아파트,0,0,1,4,1,2,0,0,2,2,1,2,4,4,0,1,0,1,0,0,0,0,0,0,
57,사직동 - 사직동,8,사직실내수영장,0,0,2,4,1,1,2,3,3,1,3,3,8,5,3,1,1,3,4,0,0,0,0,0,
57,사직동 - 사직동,9,사직야구장,0,0,1,0,0,0,1,2,4,0,0,4,9,2,4,1,2,3,0,0,0,0,0,0,
57,사직동 - 사직동,10,사직사거리,0,1,1,3,4,3,2,5,3,3,4,7,10,10,7,4,0,4,0,0,0,0,0,0,
57,사직동 - 사직동,11,사직1치안센터,0,3,1,3,5,3,3,4,0,4,4,5,6,11,9,4,1,3,0,0,0,0,0,0,
57,사직동 - 사직동,12,미남역.반도스카이뷰,1,4,2,2,6,3,5,5,1,7,4,5,7,11,8,4,2,2,2,0,0,0,0,0,
57,사직동 - 사직동,13,광혜병원,0,3,3,3,2,3,4,3,3,8,7,6,6,8,9,0,1,4,3,0,0,0,0,0,
57,사직동 - 사직동,14,동래럭키아파트,0,4,0,2,4,3,4,5,4,9,3,6,7,7,4,2,0,3,0,0,0,0,0,0,
57,사직동 - 사직동,15,메가마트동래점,0,1,2,2,5,3,4,6,3,8,5,8,7,5,7,5,4,1,3,0,0,0,0,0,
57,사직동 - 사직동,16,수안역.동래교차로,0,0,0,1,3,2,1,5,1,7,3,7,7,3,3,4,0,0,0,0,0,0,0,0,
57,사직동 - 사직동,17,동래시장,0,3,0,3,6,5,4,4,4,7,7,6,6,6,4,4,2,2,2,0,0,0,0,0,
57,사직동 - 사직동,18,낙민역.동래고등학교,0,3,2,0,7,3,1,6,4,8,8,2,6,1,5,3,0,0,0,0,0,0,0,0,
57,사직동 - 사직동,19,동래봉생병원,2,2,0,2,7,4,2,5,7,3,7,2,6,3,5,4,0,3,0,0,0,0,0,0,
57,사직동 - 사직동,20,우성아파트,0,0,2,2,8,3,1,4,8,10,6,5,8,5,3,3,4,2,3,0,0,0,0,0,
57,사직동 - 사직동,21,경동아파트,0,2,3,3,7,4,1,5,1,3,9,0,7,6,4,3,3,3,3,0,0,0,0,0,
57,사직동 - 사직동,22,연동시장,0,3,3,3,4,5,0,5,9,5,6,6,7,7,3,2,4,0,2,0,0,0,0,0,
57,사직동 - 사직동,23,부산경상대학입구,4,3,4,4,7,5,3,7,10,6,7,7,7,5,5,0,2,0,4,0,0,0,0,0,
57,사직동 - 사직동,24,연산8치안센터,0,2,3,6,5,4,3,7,9,5,8,7,7,7,7,3,3,1,0,0,0,0,0,0,
57,사직동 - 사직동,25,토곡한양아파트,3,0,2,3,3,4,4,8,5,3,7,2,6,7,7,3,0,0,0,0,0,0,0,0,
57,사직동 - 사직동,26,태광아파트,0,2,2,6,6,3,5,8,5,4,8,8,8,9,8,4,2,2,3,0,0,0,0,0,
57,사직동 - 사직동,27,부산소방본부.부산교통정보서비스센터,0,3,0,8,6,4,4,8,10,6,8,11,13,10,6,5,4,2,3,2,0,0,0,0,
57,사직동 - 사직동,28,망미주공아파트,5,5,5,11,14,9,6,10,9,8,10,15,15,16,9,5,6,3,3,0,0,0,0,0,
57,사직동 - 사직동,29,오양아파트,7,7,6,14,16,11,8,11,12,12,12,16,12,11,10,4,7,4,5,0,0,0,0,0,
57,사직동 - 사직동,30,망미중앙시장,8,6,2,11,14,13,12,14,8,13,13,16,17,18,9,6,5,1,3,0,0,0,0,0,
57,사직동 - 사직동,31,망미역,0,8,4,11,14,9,11,13,9,12,11,10,14,17,7,3,5,3,4,0,0,0,0,0,
57,사직동 - 사직동,32,부산지방병무청,0,9,5,12,13,14,13,10,7,0,6,4,15,9,8,2,3,3,3,1,0,0,0,0,
57,사직동 - 사직동,33,망미1파출소,0,9,6,12,11,10,17,14,15,11,12,9,14,10,8,6,5,5,4,2,0,0,0,0,
57,사직동 - 사직동,34,배산역,0,15,6,11,8,11,17,12,13,10,11,9,15,15,7,8,6,2,2,0,0,0,0,0,
57,사직동 - 사직동,35,한독아파트,0,17,6,12,8,12,14,9,14,11,13,6,12,14,0,5,6,2,4,3,0,0,0,0,
57,사직동 - 사직동,36,신리삼거리,0,20,3,10,10,11,16,10,11,9,12,7,15,8,9,10,5,0,0,2,0,0,0,0,
57,사직동 - 사직동,37,연제구청,0,21,7,13,9,12,15,17,15,13,13,11,14,12,12,9,11,2,4,4,0,0,0,0,
57,사직동 - 사직동,38,세정고등학교,0,22,7,13,7,13,16,11,15,14,14,11,15,13,11,4,7,0,0,4,0,0,0,0,
57,사직동 - 사직동,39,양정역6번출구,0,21,5,12,6,7,15,16,16,13,14,9,14,8,10,8,10,4,2,2,0,0,0,0,
57,사직동 - 사직동,40,양정역,0,22,5,11,8,14,13,18,15,13,16,11,16,11,13,4,9,3,3,3,0,0,0,0,
57,사직동 - 사직동,41,송상현광장,0,19,6,12,6,16,4,9,7,12,15,5,15,10,10,9,8,3,3,0,0,0,0,0,
57,사직동 - 사직동,42,부전역,0,18,6,11,7,14,10,12,13,11,11,10,13,12,9,6,3,3,0,4,0,0,0,0,
57,사직동 - 사직동,43,부전시장,0,12,0,12,6,16,10,11,12,9,12,10,10,15,11,6,4,2,1,6,0,0,0,0,
57,사직동 - 사직동,44,서면역.서면지하상가,0,8,5,5,5,10,7,9,6,11,10,6,9,11,9,4,3,2,3,4,0,0,0,0,
57,사직동 - 사직동,45,서면한전,0,6,1,4,14,10,6,8,6,5,9,5,8,13,7,5,5,4,4,3,0,0,0,0,
57,사직동 - 사직동,46,범내골역,0,2,4,2,9,8,4,7,5,10,7,4,7,11,5,3,4,6,2,2,0,0,0,0,
57,사직동 - 사직동,47,중앙시장,0,0,0,1,4,4,3,6,4,5,4,0,6,7,4,0,1,4,0,2,0,0,0,0,
57,사직동 - 사직동,48,자유시장,0,0,1,0,3,4,1,5,2,2,4,7,4,4,2,0,2,1,1,1,0,0,0,0,
57,사직동 - 사직동,49,시민회관,0,0,0,1,0,2,1,3,0,3,2,6,4,4,3,3,3,0,0,0,0,0,0,0,
57,사직동 - 사직동,50,부산진시장,0,0,2,1,1,0,1,3,2,5,3,4,5,6,3,2,3,1,1,0,0,0,0,0,
57,사직동 - 사직동,51,범일역,0,1,2,1,2,1,2,4,4,3,4,5,3,6,3,4,4,1,1,0,0,0,0,0,
57,사직동 - 사직동,52,중앙시장,0,0,0,0,0,2,2,5,5,2,6,7,9,4,6,0,3,0,0,0,0,0,0,0,
57,사직동 - 사직동,53,범내골역.상공회의소,0,0,0,2,0,1,4,6,6,0,2,8,3,7,4,2,0,1,0,0,0,0,0,0,
