노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
30,태종대 - 태종대.태종대온천,0,태종대,1,0,1,0,0,0,0,3,1,5,6,9,6,10,4,0,1,1,1,2,0,0,0,0,
30,태종대 - 태종대.태종대온천,1,태종대초등학교,0,0,1,3,1,1,2,6,2,7,8,7,7,11,3,3,1,2,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,2,하리,2,1,1,4,2,6,3,8,7,9,9,13,8,16,7,4,4,3,3,6,0,0,0,0,
30,태종대 - 태종대.태종대온천,3,해양대입구,0,0,0,0,0,9,0,10,3,4,9,15,8,17,10,2,2,1,2,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,4,에덴금호아파트,0,1,2,2,3,7,1,12,5,10,12,0,9,11,0,5,5,3,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,5,동삼혁신지구입구,0,0,0,2,0,8,4,14,3,6,0,14,12,12,12,3,0,4,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,6,동삼동국민은행,3,2,2,3,6,8,2,15,6,10,13,8,7,18,12,3,0,2,5,2,0,0,0,0,
30,태종대 - 태종대.태종대온천,7,동삼주택,5,2,2,3,10,10,5,15,8,13,14,11,13,18,13,6,4,5,3,4,0,0,0,0,
30,태종대 - 태종대.태종대온천,8,일동미라주아파트,7,2,4,6,12,13,8,11,9,17,14,10,16,14,14,4,5,2,9,7,0,0,0,0,
30,태종대 - 태종대.태종대온천,9,동삼삼거리,0,0,1,7,12,11,7,16,10,5,16,9,13,0,18,2,0,0,6,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,10,동삼주공,0,3,6,10,11,16,8,16,11,12,17,10,10,17,20,0,0,3,8,3,0,0,0,0,
30,태종대 - 태종대.태종대온천,11,영도구청,0,4,7,4,13,18,12,18,14,18,20,11,15,21,26,4,4,2,9,7,0,0,0,0,
30,태종대 - 태종대.태종대온천,12,청학주유소,8,0,4,12,15,17,9,19,15,11,22,12,13,8,19,6,3,2,7,4,0,0,0,0,
30,태종대 - 태종대.태종대온천,13,청학동부산은행,9,3,4,14,16,20,22,19,24,19,24,14,17,22,26,7,0,0,8,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,14,SK부산저유소,0,0,4,15,17,21,0,20,25,10,24,23,8,21,22,7,1,2,2,6,0,0,0,0,
30,태종대 - 태종대.태종대온천,15,한진중공업,10,0,5,14,18,20,0,18,26,20,13,16,15,19,30,9,4,0,10,5,0,0,0,0,
30,태종대 - 태종대.태종대온천,16,한성맨션,0,0,0,15,14,12,8,17,25,8,15,14,0,20,0,0,0,0,0,6,0,0,0,0,
30,태종대 - 태종대.태종대온천,17,교통순찰대,12,5,6,17,18,16,11,21,25,22,23,13,10,19,31,8,0,0,6,6,0,0,0,0,
30,태종대 - 태종대.태종대온천,18,해동병원,9,0,8,16,16,19,20,20,16,20,22,26,14,21,28,7,5,5,7,11,0,0,0,0,
30,태종대 - 태종대.태종대온천,19,영도우체국,10,4,9,15,15,19,20,13,19,16,19,20,13,23,27,13,6,6,8,9,0,0,0,0,
30,태종대 - 태종대.태종대온천,20,영도경찰서,0,2,7,13,11,20,19,10,16,11,16,17,13,23,25,4,4,7,9,8,0,0,0,0,
30,태종대 - 태종대.태종대온천,21,영도대교.남포역,9,1,5,8,7,12,12,8,11,10,11,11,10,15,12,5,4,3,6,5,0,0,0,0,
30,태종대 - 태종대.태종대온천,22,남포동,0,2,7,8,6,11,8,9,10,11,10,14,6,8,8,5,6,2,4,5,0,0,0,0,
30,태종대 - 태종대.태종대온천,23,충무동교차로,0,5,7,6,4,8,5,7,7,8,6,11,4,6,8,4,5,4,3,3,0,0,0,0,
30,태종대 - 태종대.태종대온천,24,충무쇼핑충무동새벽시장,0,0,2,5,2,5,3,6,5,7,5,11,4,6,6,2,1,3,2,3,0,0,0,0,
30,태종대 - 태종대.태종대온천,25,공동어시장,0,0,1,3,3,1,5,4,2,0,1,10,0,0,6,2,0,0,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,26,대진아파트,0,0,6,2,2,4,0,6,3,0,3,3,0,2,1,0,1,2,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,27,등대시장,0,0,0,4,2,0,4,2,2,6,0,8,5,1,7,0,0,1,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,28,대림아파트,0,1,0,2,2,0,1,3,4,0,0,6,2,8,6,1,0,0,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,29,암남동주민센터,0,0,1,0,0,3,1,0,3,5,2,5,2,7,5,1,0,1,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,30,송도초등학교,0,0,0,4,3,0,2,3,2,4,1,5,3,4,4,0,3,0,1,1,0,0,0,0,
30,태종대 - 태종대.태종대온천,31,송도해수욕장,0,0,1,0,1,0,4,0,2,5,3,4,2,2,4,2,1,1,1,2,0,0,0,0,
30,태종대 - 태종대.태종대온천,32,송도공영주차장,0,4,0,0,0,1,1,1,1,2,2,3,1,0,1,0,0,0,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,33,혜성아파트,0,0,0,0,0,0,0,0,0,0,4,2,1,0,2,0,0,0,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,34,현대아파트,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,35,휴게소,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,36,암남공원,0,0,0,3,1,2,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,
30,태종대 - 태종대.태종대온천,37,모지포마을입구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,38,모지포마을,0,0,0,2,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,39,성진수산,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,40,부산국제수산물도매시장,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,41,수산가공선진화단지입구,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,42,수산가공선진화단지,0,3,1,0,0,1,2,2,1,0,3,0,1,9,5,2,2,1,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,43,수산가공선진화단지입구,0,0,0,0,0,0,2,0,0,0,0,0,2,10,6,0,0,0,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,44,부산국제수산물도매시장,0,0,1,0,0,0,3,3,2,0,4,2,0,7,11,4,0,0,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,45,해원냉장,0,4,0,0,0,0,0,4,0,0,4,0,4,9,12,5,0,0,0,0,0,0,0,0,
30,태종대 - 태종대.태종대온천,46,성진수산,0,0,0,0,1,0,4,6,0,1,5,1,5,14,16,3,0,4,0,0,0,0,0,0,
