노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
61,신평 - 신평,0,신평,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,
61,신평 - 신평,1,대동중고등학교,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
61,신평 - 신평,2,YK스틸,0,1,2,2,1,3,3,3,2,3,3,2,2,4,3,1,0,1,0,0,0,0,0,0,
61,신평 - 신평,3,구평초등학교,0,0,0,1,0,0,1,1,0,0,1,1,3,4,0,0,0,0,0,0,0,0,0,0,
61,신평 - 신평,4,구평화신아파트,0,2,2,4,2,4,2,6,3,3,5,4,5,6,5,2,2,0,0,0,0,0,0,0,
61,신평 - 신평,5,구평고개,0,2,0,4,3,3,3,5,4,0,1,3,1,0,3,1,0,1,0,0,0,0,0,0,
61,신평 - 신평,6,감천삼거리,0,0,3,3,4,2,5,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,
61,신평 - 신평,7,삼성여고,0,3,7,9,6,5,7,4,6,4,5,5,6,8,6,2,1,3,0,0,0,0,0,0,
61,신평 - 신평,8,부일전자디자인고교,0,3,0,5,10,0,6,3,4,1,5,5,6,7,7,3,0,0,1,0,0,0,0,0,
61,신평 - 신평,9,감천사거리,0,3,5,8,9,5,5,5,2,3,6,6,8,8,9,4,2,2,0,0,0,0,0,0,
61,신평 - 신평,10,남성한빛가든,0,0,3,9,6,3,6,6,4,4,9,4,5,9,11,0,1,0,0,0,0,0,0,0,
61,신평 - 신평,11,감천초등학교,0,3,0,0,6,5,0,4,5,0,5,6,0,0,0,0,0,2,0,0,0,0,0,0,
61,신평 - 신평,12,알로이시오기념병원,0,4,4,9,8,5,5,7,2,5,6,0,8,11,9,0,0,1,0,0,0,0,0,0,
61,신평 - 신평,13,고신대학교복음병원,0,4,2,12,0,6,4,9,6,7,10,8,9,13,13,5,1,2,5,0,0,0,0,0,
61,신평 - 신평,14,송도입구,0,4,3,6,8,8,6,11,5,6,12,7,0,14,13,2,0,0,0,0,0,0,0,0,
61,신평 - 신평,15,신익아파트,0,0,0,9,6,7,0,5,4,7,11,6,0,14,0,3,1,0,0,0,0,0,0,0,
61,신평 - 신평,16,부산관광고교,0,2,0,7,7,9,5,6,7,25,11,9,6,15,13,9,3,0,0,0,0,0,0,0,
61,신평 - 신평,17,남부민2동주민센터,0,0,3,13,9,10,7,12,6,7,12,9,7,11,15,10,0,0,1,0,0,0,0,0,
61,신평 - 신평,18,천마우편취급국,0,5,3,8,10,8,0,7,4,9,0,8,0,16,16,3,0,0,0,0,0,0,0,0,
61,신평 - 신평,19,남부민초등학교,0,0,5,11,11,13,6,5,8,5,8,8,8,17,6,4,0,3,0,0,0,0,0,0,
61,신평 - 신평,20,남부민시장입구,0,4,4,11,12,9,8,10,10,8,11,6,0,19,14,4,2,2,2,0,0,0,0,0,
61,신평 - 신평,21,충무동교차로,0,4,4,12,12,9,8,9,9,7,25,8,8,17,16,7,3,1,0,0,0,0,0,0,
61,신평 - 신평,22,충무동해안시장,0,2,3,12,10,7,7,8,6,7,8,10,9,14,13,6,3,3,3,0,0,0,0,0,
61,신평 - 신평,23,신동아시장,0,2,2,8,8,9,6,5,12,9,9,11,10,13,15,6,4,5,9,0,0,0,0,0,
61,신평 - 신평,24,자갈치시장,0,1,0,5,4,8,7,5,10,4,7,12,9,12,14,5,4,4,10,0,0,0,0,0,
61,신평 - 신평,25,CJ대한통운,0,0,1,9,8,8,7,8,10,6,8,14,8,16,16,6,6,4,6,0,0,0,0,0,
61,신평 - 신평,26,영주동,0,2,2,8,5,9,2,9,11,9,8,13,10,17,17,6,4,6,3,0,0,0,0,0,
61,신평 - 신평,27,부산역,0,3,3,7,10,10,10,15,10,12,9,13,15,20,25,9,5,5,12,0,0,0,0,0,
61,신평 - 신평,28,YMCA,0,0,4,7,9,11,9,16,11,7,7,14,14,22,25,10,9,6,13,0,0,0,0,0,
61,신평 - 신평,29,부산진역,0,4,5,9,9,12,14,17,14,14,9,12,12,19,27,14,6,5,12,0,0,0,0,0,
61,신평 - 신평,30,좌천동가구거리.좌천역,0,5,5,10,10,13,16,16,11,13,10,13,11,25,29,6,6,5,4,0,0,0,0,0,
61,신평 - 신평,31,한성기린아파트,0,6,7,11,10,16,17,4,15,15,11,12,12,19,25,8,7,0,0,0,0,0,0,0,
61,신평 - 신평,32,경남아파트,0,10,10,10,13,20,16,17,15,16,13,15,12,28,33,15,8,6,11,0,0,0,0,0,
61,신평 - 신평,33,신암.범천2동행정복지센터,0,9,11,12,16,24,16,6,16,18,12,17,15,29,35,15,8,5,12,0,0,0,0,0,
61,신평 - 신평,34,CBS방송국,0,7,10,13,17,19,9,7,13,17,14,11,16,25,32,16,3,8,5,0,0,0,0,0,
61,신평 - 신평,35,가야시장.가야역,0,6,6,9,12,14,13,15,11,14,11,13,11,22,23,9,6,6,10,0,0,0,0,0,
61,신평 - 신평,36,가야1치안센터,0,0,7,9,11,15,14,11,12,12,10,11,9,19,21,11,7,4,9,0,0,0,0,0,
61,신평 - 신평,37,가야전신전화국,0,0,6,8,12,14,12,5,3,10,9,7,8,17,18,10,5,3,3,0,0,0,0,0,
61,신평 - 신평,38,개금삼거리,0,0,4,8,15,11,11,7,10,8,7,7,9,12,14,7,4,6,7,0,0,0,0,0,
61,신평 - 신평,39,개금역,0,0,7,7,13,10,10,7,8,0,6,2,8,12,13,2,3,5,5,0,0,0,0,0,
61,신평 - 신평,40,냉정고개,0,0,6,7,14,9,2,5,9,6,5,5,0,6,12,0,6,1,0,0,0,0,0,0,
61,신평 - 신평,41,경남정보대학.냉정역,0,5,7,8,10,5,6,6,6,7,8,6,3,10,5,8,3,4,4,0,0,0,0,0,
61,신평 - 신평,42,럭키아파트주례역,0,4,9,10,9,3,5,2,5,5,6,6,4,7,8,5,5,4,4,1,0,0,0,0,
61,신평 - 신평,43,주례1동주민센터,0,3,5,0,8,1,4,2,3,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,
61,신평 - 신평,44,온골마을입구,0,0,1,1,10,0,0,0,6,3,0,7,0,6,0,0,4,2,0,0,0,0,0,0,
61,신평 - 신평,45,북부산세무서감전역,0,0,9,8,9,2,3,1,3,5,5,4,0,6,7,0,0,1,0,0,0,0,0,0,
61,신평 - 신평,46,삼대한의원,0,2,8,5,3,1,2,0,5,2,1,3,4,5,3,4,2,0,0,0,0,0,0,0,
61,신평 - 신평,47,사상우체국,0,0,5,7,9,5,0,0,4,1,4,3,0,4,2,3,2,0,3,0,0,0,0,0,
61,신평 - 신평,48,코레일사상역,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,
61,신평 - 신평,49,서부시외버스터미널사상역,0,0,2,2,2,4,8,4,3,6,5,4,4,7,7,2,4,3,1,1,0,0,0,0,
61,신평 - 신평,50,사상우체국,0,0,3,3,2,5,3,3,3,8,0,2,4,4,9,3,0,2,0,0,0,0,0,0,
61,신평 - 신평,51,삼대한의원,0,0,0,0,4,0,2,4,2,3,4,0,5,8,9,0,0,0,2,0,0,0,0,0,
61,신평 - 신평,52,북부산세무서감전역,0,0,1,1,8,6,9,5,4,2,5,2,4,9,11,3,1,0,0,0,0,0,0,0,
61,신평 - 신평,53,온골마을입구,0,0,1,0,2,1,0,3,4,0,6,0,5,8,7,5,0,0,0,0,0,0,0,0,
61,신평 - 신평,54,주례1동주민센터,0,0,4,0,8,0,10,0,0,2,4,3,6,6,11,6,0,0,0,0,0,0,0,0,
61,신평 - 신평,55,럭키아파트주례역,0,0,2,3,6,7,6,8,7,8,10,5,5,9,12,4,3,4,2,1,0,0,0,0,
61,신평 - 신평,56,좋은삼선병원,0,0,0,1,8,7,13,10,3,0,11,4,7,8,11,0,2,3,1,0,0,0,0,0,
61,신평 - 신평,57,경남정보대학.냉정역,0,0,2,2,5,7,9,12,9,12,14,7,9,8,12,7,4,5,3,1,0,0,0,0,
61,신평 - 신평,58,냉정고개,0,0,5,4,2,0,11,0,4,13,15,7,0,9,13,0,3,6,0,0,0,0,0,0,
61,신평 - 신평,59,개금역,0,0,3,5,9,9,14,14,9,10,10,7,9,8,12,5,5,7,4,2,0,0,0,0,
61,신평 - 신평,60,개금삼거리,0,0,7,8,12,10,13,15,11,18,15,11,12,11,13,8,8,9,6,1,0,0,0,0,
61,신평 - 신평,61,동의대학교입구.동의대역,0,0,5,9,14,11,14,13,7,14,12,13,13,12,13,5,7,10,4,0,0,0,0,0,
61,신평 - 신평,62,가야1치안센터,0,0,8,11,15,12,15,16,10,19,14,14,13,14,14,16,7,3,6,2,0,0,0,0,
61,신평 - 신평,63,가야시장.가야역,0,0,10,14,18,8,16,16,12,20,16,12,14,15,15,15,8,9,7,0,0,0,0,0,
61,신평 - 신평,64,CBS방송국,0,0,8,10,18,9,11,15,9,21,17,13,14,12,13,11,7,8,4,0,0,0,0,0,
61,신평 - 신평,65,신암.범천2동행정복지센터,0,0,10,18,17,12,17,16,10,12,18,13,12,16,14,10,7,7,4,1,0,0,0,0,
61,신평 - 신평,66,경남아파트,0,0,10,19,18,13,13,16,9,20,14,17,12,16,13,9,6,3,3,0,0,0,0,0,
61,신평 - 신평,67,범곡교차로,0,0,7,20,15,13,14,15,6,19,15,15,14,13,12,6,7,8,7,2,0,0,0,0,
61,신평 - 신평,68,좌천동가구거리.좌천역,0,0,11,17,13,6,10,14,10,12,11,14,15,12,10,12,2,6,4,0,0,0,0,0,
61,신평 - 신평,69,봉생병원,0,0,5,16,10,6,14,13,10,11,15,12,11,11,9,11,4,0,6,1,0,0,0,0,
61,신평 - 신평,70,부산진역,0,0,0,15,8,4,10,12,8,17,14,12,12,11,11,8,5,0,5,0,0,0,0,0,
61,신평 - 신평,71,고관입구,0,0,5,12,11,6,6,11,7,5,15,10,13,11,8,9,6,5,4,3,0,0,0,0,
61,신평 - 신평,72,초량역,0,0,10,7,7,4,8,9,11,12,14,10,8,10,10,5,5,6,6,0,0,0,0,0,
61,신평 - 신평,73,부산역,0,0,10,6,12,3,6,12,9,10,15,10,12,12,12,11,4,6,4,3,0,0,0,0,
61,신평 - 신평,74,영주동,0,0,4,4,10,3,4,12,10,11,11,9,11,12,14,2,5,3,2,4,0,0,0,0,
61,신평 - 신평,75,중앙동중앙역,0,0,10,4,8,4,5,10,8,10,11,8,12,11,13,10,4,5,4,0,0,0,0,0,
61,신평 - 신평,76,부산데파트,0,0,9,5,6,2,5,9,8,9,10,8,11,12,6,8,4,2,3,4,0,0,0,0,
61,신평 - 신평,77,남포동,0,0,10,6,3,2,4,7,5,8,8,6,11,8,9,9,5,6,1,5,0,0,0,0,
61,신평 - 신평,78,자갈치역.충무동교차로,0,0,7,6,3,5,3,7,6,7,7,6,10,8,9,6,3,4,4,5,0,0,0,0,
61,신평 - 신평,79,남부민시장입구,0,0,0,7,5,4,4,6,4,7,6,0,0,8,0,4,0,0,0,0,0,0,0,0,
61,신평 - 신평,80,남부민초등학교,0,0,0,0,5,1,3,7,5,5,0,4,0,7,8,0,0,5,0,0,0,0,0,0,
61,신평 - 신평,81,천마우편취급국,0,0,0,4,6,0,0,0,0,3,6,0,6,5,7,0,0,0,3,0,0,0,0,0,
61,신평 - 신평,82,남부민2동주민센터,0,0,0,0,0,0,0,6,4,6,3,4,0,6,9,5,2,0,2,4,0,0,0,0,
61,신평 - 신평,83,부산관광고교,0,0,3,2,6,3,0,1,2,10,3,6,5,8,9,3,3,2,2,3,0,0,0,0,
61,신평 - 신평,84,신익아파트,0,0,0,5,0,0,1,0,2,2,3,3,1,7,0,2,1,3,1,0,0,0,0,0,
61,신평 - 신평,85,송도입구,0,0,0,6,3,2,2,3,0,6,2,4,1,5,10,7,4,4,3,2,0,0,0,0,
61,신평 - 신평,86,고신대학교복음병원,0,0,6,7,5,0,5,5,4,6,4,4,6,9,10,4,3,3,2,1,0,0,0,0,
61,신평 - 신평,87,알로이시오기념병원,0,0,5,8,6,1,5,3,0,7,0,5,6,9,9,6,2,2,0,0,0,0,0,0,
61,신평 - 신평,88,감천초등학교,0,0,0,0,4,0,0,0,2,0,0,3,5,8,0,0,0,0,0,0,0,0,0,0,
61,신평 - 신평,89,남성한빛가든,0,0,0,6,1,3,1,4,1,5,0,4,4,8,0,4,1,0,0,0,0,0,0,0,
61,신평 - 신평,90,감천사거리,0,0,4,7,7,0,4,3,0,6,6,7,5,9,0,5,2,3,2,0,0,0,0,0,
61,신평 - 신평,91,부산천연가스발전소,0,0,3,2,6,4,5,3,3,5,2,7,5,10,8,1,2,5,2,0,0,0,0,0,
61,신평 - 신평,92,부일전자디자인고교,0,0,4,7,2,2,4,3,1,4,5,6,15,5,6,4,0,1,0,0,0,0,0,0,
61,신평 - 신평,93,삼성여고,0,0,0,6,5,1,5,2,4,3,2,7,16,11,8,6,2,4,3,2,0,0,0,0,
61,신평 - 신평,94,감천삼거리,0,0,0,2,3,1,4,1,3,0,1,6,13,10,7,5,1,3,0,0,0,0,0,0,
61,신평 - 신평,95,구평고개,0,0,0,6,4,0,2,0,2,1,1,5,12,5,4,0,0,2,0,1,0,0,0,0,
61,신평 - 신평,96,구평화신아파트,0,0,0,0,2,1,0,1,0,0,0,4,14,5,5,0,0,0,0,0,0,0,0,0,
61,신평 - 신평,97,구평초등학교,0,0,0,5,2,0,0,0,2,1,1,2,4,7,4,0,0,0,0,0,0,0,0,0,
